sentence1,sentence2,similarity_score
"['wish', 'see', 'hitler', 'kill', 'jew']","['quiera', 'f', 'hitler', 'matando', 'judío']",4.6
"['im', 'friend', 'mitt']","['amigo', 'mitt']",4.0
"['mean', 'option']","['significa', 'opción', 'an']",1.6
"['think', 'need', 'reread', 'wrote']","['creo', 'necesita', 'releer', 'escribí']",5.0
"['let', 'assum', 'white', 'black']","['asumamo', 'blanco', 'negro']",3.7777777
"['mom', 'bust', 'said', 'what', 'nois']","['mamá', 'entró', 'dijo', 'ruido']",1.8
"['best', 'kutt', 'exfianc', 'wouldnt', 'use', 'va', 'navi', 'doctor']","['mejor', 'deseo', 'kutt', 'exprometido', 'usaría', 'médico', 'armada', 'va']",3.6
"['holder', 'file', 'threepag', 'letter']","['holder', 'presentó', 'carta', 'tre', 'página']",2.8
"['lustig', 'andrei', 'lustig', 'agre']","['lustig', 'andrei', 'lustig', 'acuerdo']",2.2
"['eclips', 'old', 'record', 'set']","['eclipsa', 'viejo', 'récord', 'establec']",4.8
"['zimmerman', 'repli']","['zimmerman', 'respondió', 'haciendo', 'aquí']",0.9
"['dont', 'know', 'legitim', 'heard', 'he', 'kind', 'suicid']","['sé', 'cuán', 'legítimo', 'escuché', 'suicida']",1.6
"['council', 'tax', 'hasnt', 'council', 'tax', 'frozen', 'peopl']","['impuesto', 'municip', 'congelado', 'impuesto', 'municipal', 'mayoría', 'gent']",4.8
"['schtick', 'get', 'stale']","['palo', 'poniendo', 'rancio']",0.4
['work'],"['así', 'funciona']",1.6
"['breath', 'breath', 'move']","['inspiren', 'espiren', 'sigan', 'adelant']",4.4
"['wait', 'becom', 'consist', 'closer', 'togeth']","['esperar', 'vuelvan', 'consistent', 'cercana']",3.8
"['obama', 'extrem', 'leftw']","['obama', 'extremista', 'izquierdista']",4.8
"['frank', 'apisa', 'want', 'call']","['frank', 'apisa', 'quiera', 'llamar', 'depend']",2.5
"['juri', 'nullif', 'noth', 'constitution', 'law']","['anulación', 'jurado', 'ver', 'constitucionalidad', 'ley']",2.6
"['convict', 'talk']","['convicción', 'hablaba']",4.4
"['actual', 'read', 'op', 'guess', 'found']","['así', 'realidad', 'leí', 'op', 'adivina', 'descubrí']",4.6
"['govern', 'determin', 'marri']","['gobierno', 'determina', 'si', 'casado']",3.6
"['democraci', 'threat', 'liberti']","['democracia', 'amenaza', 'libertad']",1.8
"['hi', 'pro', 'corn', 'mani', 'thread', 'plan', 'make']","['hi', 'pro', 'corn', 'cuánto', 'hilo', 'piensa', 'hacer']",4.0
"['tell', 'exactli', 'system', 'isnt', 'work', 'right']","['dime', 'exactament', 'sistema', 'funciona', 'ahora', 'mismo']",4.0
"['oh', 'assert', 'marriag', 'fundament', 'human', 'right']","['oh', 'nuevo', 'afirma', 'matrimonio', 'derecho', 'humano', 'fundament']",4.0
"['russian', 'damascu']","['ruso', 'damasco']",4.2
"['ye', 'dilut']","['trata', 'dilución']",1.8
"['yeah', 'dont', 'think', 'controversi', 'either']","['tampoco', 'creo', 'tan', 'controvertido']",3.8
"['oper', 'chao', 'mere', 'peopl', 'vote']","['operación', 'cao', 'simplement', 'gent', 'votando']",4.0
"['origin', 'post', 'jond', 'doubt']","['originalment', 'publicado', 'jond', 'doubt']",1.2
"['classic', 'ga', 'vessel', 'fill', 'mani', 'wonder']","['ga', 'clásico', 'nave', 'llena', 'mucha', 'maravilla']",3.0
"['repeat', 'sovereign']","['repetir', 'tan', 'soberano']",4.5
"['moral', 'absolut', 'noth']","['moral', 'ver']",2.0
"['convers', 'cornel', 'west', 'dear', 'brother']","['conversando', 'will', 'cornel', 'west', 'querido', 'hermano']",3.0
"['war', 'middl', 'east']","['guerra', 'medio', 'orient']",4.6
"['intent', 'apprehend']","['intención', 'detenerlo']",2.4
"['vessel', 'fill', 'mani', 'wonder']","['nave', 'llena', 'mucha', 'maravilla']",3.6
"['your', 'bunch', 'cell']","['montón', 'célula']",2.4
"['girl', 'douch']","['ducha', 'vagin', 'chica']",1.4
"['juri', 'nullif', 'mean', 'law', 'isnt', 'constitut']","['anulación', 'jurado', 'significa', 'ley', 'constitucion']",2.0
"['definit', 'use']","['definitivament', 'solía', 'ser']",4.0
"['onu', 'manufactur', 'product', 'convinc', 'consum', 'safe']","['responsabilidad', 'fabricant', 'producto', 'convenc', 'consumidor', 'seguro']",3.4
"['think', 'miss', 'point', 'entrepreneur']","['creo', 'perdiendo', 'punto', 'empresario']",0.8
"['cyclop', 'dont', 'exist', 'fine']","['cíclope', 'existen', 'bien']",1.6
"['mental', 'ill', 'teach']","['enfermedad', 'mental', 'ahora', 'enseñan']",1.6
"['landon', 'christma', 'vessel', 'fill', 'mani', 'wonder']","['landon', 'así', 'navidad', 'recipient', 'lleno', 'mucha', 'maravilla']",1.8
"['bush', 'get', 'zero', 'credit', 'budget']","['bush', 'recib', 'ningún', 'crédito', 'presupuesto', 'cargo']",1.8
"['sin', 'peopl', 'get', 'heaven']","['gent', 'pecadora', 'llega', 'cielo']",1.8
"['long', 'obliter', 'kid', 'return', 'school']","['cuánto', 'tiempo', 'despué', 'obliteración', 'debe', 'niño', 'volver', 'escuela']",3.0
"['holli', 'holi', 'vessel', 'fill', 'mani', 'wonder']","['santo', 'dio', 'vaso', 'lleno', 'mucha', 'maravilla']",3.8
"['answer', 'chicago']","['cuál', 'respuesta', 'chicago']",1.2
"['entir', 'thing', 'make', 'sens']",[],4.2
"['supposedli', 'oper', 'homicid', 'ga', 'chamber']","['quién', 'supuestament', 'operaba', 'cámara', 'ga', 'homicida']",4.8
"['therefor', 'explan', 'exist', 'univers', 'god']","['explicación', 'existencia', 'universo', 'dio']",3.6
"['genet', 'predisposit', 'cancer', 'resist', 'superior', 'genet']","['predisposición', 'genética', 'resistencia', 'cáncer', 'genética', 'superior']",1.4
"['notic', 'nonsens', 'thing', 'say']","['da', 'cuenta', 'cosa', 'diciendo']",4.571429
"['use', 'forc', 'defens', 'persona']","['uso', 'fuerza', 'defensa', 'persona']",1.2
"['that', 'data', 'avail', 'show']","['muestran', 'dato', 'dispon']",3.6
"['joy', 'world', 'vessel', 'fill', 'mani', 'wonder']","['alegría', 'mundo', 'nave', 'llena', 'mucha', 'maravilla']",3.0
"['thought', 'mostli', 'dutch']","['creía', 'holandes']",2.6
"['ive', 'watch', 'kid', 'play']","['visto', 'jugar', 'niño']",2.2
"['david', 'omsigdavid', 'think', 'santorum', 'like', 'gingrich']","['david', 'omsigdavid', 'creo', 'santorum', 'probabl', 'gingrich']",4.8
"['theyr', 'look']",['mirando'],2.8
"['drive', 'one']",['conduciendo'],2.6
"['religion', 'problem']","['religión', 'hace', 'problema']",1.4
"['think', 'hed', 'better', 'american', 'busi', 'interest', 'overal']","['creo', 'mejor', 'interes', 'negocio', 'americano', 'gener']",1.6
"['constitut', 'issu']","['cuestión', 'constitucion']",4.4
"['foolsbought', 'coveruphook']","['usted', 'tonto', 'compraron', 'encubrimiento', 'gancho']",4.2
"['press', 'number', 'one']","['hace', 'presionar', 'número']",1.6
"['convict', 'would']",['convicción'],4.4
"['origin', 'post', 'spikdboy', 'wish', 'think', 'rather', 'realist']","['originalment', 'publicado', 'spikdboy', 'ilusión', 'bien', 'realista']",3.8
"['trillionth', 'time', 'ive', 'never', 'said', 'rehabilit', 'doesnt', 'work']","['billonésima', 'vez', 'nunca', 'dicho', 'rehabilitación', 'funcion']",3.4
"['charli', 'rangel', 'censur', 'anyon', 'see', 'footag']","['charli', 'rangel', 'censur', 'alguien', 'vio', 'grabación']",3.0
"['red', 'octob', 'stand']","['octubr', 'rojo', 'espera']",2.0
"['that', 'legal', 'brief', 'written']","['así', 'escriben', 'inform', 'legal']",3.2
"['none', 'factor', 'account', 'recent', 'warm']","['ninguno', 'factor', 'explica', 'recient', 'calentamiento']",3.0
"['stone', 'notifi', 'captain', 'lord']","['stone', 'notificó', 'capitán', 'lord']",3.4
"['primari', 'focu', 'systemat', 'dialect', 'syn', 'chronic', 'dia', 'chronic']","['enfoqu', 'princip', 'dialéctica', 'sistemática', 'sincrónico', 'diacrónico']",2.2
"['drive', 'one']",['conduciendo'],2.6
"['happen', 'gop', 'control', 'state']","['sucediendo', 'controlado', 'gop']",0.8
"['fox', 'basin', 'frozen']","['cuenca', 'fox', 'congelado']",4.2
"['frank', 'apisa', 'frank', 'observ', 'perceiv']","['frank', 'apisa', 'frank', 'observo', 'percibo']",4.2
"['govern', 'decid', 'pregnanc', 'need', 'carri', 'term', 'that', 'fine']","['gobierno', 'decid', 'embarazo', 'deben', 'ser', 'llevado', 'término', 'bien']",1.2
"['put', 'littl', 'love', 'heart', 'vessel', 'fill', 'mani', 'wonder']","['ponga', 'amor', 'corazón', 'vaso', 'lleno', 'mucha', 'maravilla']",2.8
"['higher', 'per', 'cent', 'high']","['porcentaj', 'alto']",1.0
"['isnt', 'sold']",['vendió'],1.6
"['god', 'defin', 'exist']","['dio', 'definitivament', 'exist']",2.6
"['breath', 'breath', 'move']","['inspiren', 'espiren', 'sigan', 'adelant']",4.4
"['excel', 'indic', 'climat', 'chang']","['excelent', 'indicador', 'cambio', 'climático']",2.0
"['great', 'thing', 'live', 'there', 'space']","['bueno', 'vivir', 'aquí', 'espacio']",1.8
"['ah', 'ha', 'ha', 'ha', 'ha', 'ha']","['ah', 'ja', 'ja', 'ja', 'ja']",4.5
"['dont', 'understand', 'freedom', 'speech', 'prohibit']","['entiendo', 'cómo', 'va', 'prohibir', 'libertad', 'expresión']",3.8
"['question', 'need', 'ask']","['pregunta', 'debe', 'ser', 'hecha']",3.2
"['purport', 'valu', 'life', 'heavili']","['ust', 'pretend', 'valorar', 'vida']",2.8
"['infest', 'post']","['puesto', 'infestación']",1.8
"['dont', 'want', 'presid', 'care']","['quiero', 'president', 'preocupa']",4.6
"['anyth', 'make', 'le', 'compel']","['haga', 'meno', 'convincent']",2.4
"['trillionth', 'time', 'ive', 'never', 'said', 'rehabilit', 'doesnt', 'work']","['billonésima', 'vez', 'nunca', 'dicho', 'rehabilitación', 'funcion']",3.4
"['classic', 'ga', 'vessel', 'fill', 'mani', 'wonder']","['ga', 'clásico', 'nave', 'llena', 'mucha', 'maravilla']",2.4
"['peev', 'agre', 'came', 'essenti', 'freefal']","['así', 'acuerdo', 'cayó', 'esencialment', 'caída', 'libr']",4.0
"['prolif', 'peopl', 'want', 'woman', 'abl', 'choos', 'abort']","['provida', 'quieren', 'mujer', 'pueda', 'elegir', 'aborto', 'misma']",1.0
"['answer', 'question']","['así', 'respond', 'pregunta']",3.4
"['haiti', 'shithol']","['haití', 'mierda']",4.2
"['absolut', 'believ', 'iceberg', 'water']","['creo', 'absolutament', 'iceberg', 'agua']",1.2
"['face', 'franchis', 'worst', 'part', 'he', 'even', 'leaf', 'fan']","['cara', 'franquicia', 'peor', 'part', 'siquiera', 'fanático', 'leaf']",4.4
"['agre', 'complet', 'hope', 'second', 'term', 'offic']","['completament', 'acuerdo', 'espero', 'segundo', 'mandato']",4.0
"['jake', 'assist']","['jake', 'asistencia']",0.4
"['possibl', 'home', 'affect', 'school']","['posibl', 'casa', 'visto', 'afectada', 'escuela']",3.2
"['peopl', 'awaken']","['pueblo', 'despertado']",4.2
"['umm', 'california', 'cargo', 'ship', 'dont', 'care', 'articl', 'say']","['california', 'barco', 'carga', 'importa', 'diga', 'artículo']",4.0
"['umm', 'pretti', 'clearli', 'state', 'statut', 'presum', 'constitut']","['umm', 'dice', 'clarament', 'estatuto', 'presum', 'constitucion']",2.6
"['florida', 'ignor']","['florida', 'ignorancia']",3.4
"['im', 'go', 'shout', 'justic', 'trayvon']","['voy', 'gritar', 'justicia', 'trayvon']",1.6
"['know', 'what', 'right', 'wrong']","['cómo', 'sabe', 'bien', 'mal']",2.2
"['ha', 'ha', 'ha', 'ha', 'ha', 'ha']","['ja', 'ja', 'ja', 'ja', 'ja', 'ja']",5.0
"['nugent', 'complet', 'fool', 'say', 'said']","['nugent', 'completo', 'tonto', 'decir', 'dijo']",0.6
"['bush', 'fault']","['culpa', 'bush']",1.2
"['stop', 'prefix', 'suffix', 'everyth', 'hate', 'jew']","['debería', 'dejar', 'ponerl', 'prefijo', 'sufijo', 'odi', 'judío']",2.4
"['miss', 'point', 'said', 'black', 'peopl', 'go', 'riot']","['entendí', 'dijo', 'negro', 'iban', 'amotinar']",2.4
"['yet', 'didnt', 'declar']","['embargo', 'declararlo']",2.0
"['proverb', 'john', 'baptist', 'nazarit', 'birth']","['proverbio', 'juan', 'bautista', 'nazareno', 'nacimiento']",4.6
"['jame', 'say', 'faith', 'without', 'work', 'dead']","['santiago', 'dice', 'fe', 'obra', 'muerta']",2.2
"['billion', 'everyon', 'world', 'mexico', 'current', 'prosper', 'level']","['mil', 'millon', 'mundo', 'actual', 'nivel', 'prosperidad', 'méxico']",1.5333333
"['video', 'seismic', 'data', 'equal', 'durat', 'collaps']","['video', 'dato', 'sísmico', 'equivalen', 'duración', 'colapso']",4.6
"['origin', 'post', 'lone', 'fox', 'youv', 'said', 'multipl', 'time']","['originalment', 'publicado', 'lone', 'fox', 'dicho', 'mucha', 'vece']",2.2
"['might', 'like', 'obama', 'view']","['pued', 'gusten', 'opinion', 'obama']",2.6
"['actual', 'believ', 'iceberg', 'water']","['realment', 'cree', 'iceberg', 'agua']",3.0
"['simpli', 'win', 'obama', 'among', 'conserv']","['simplement', 'victoria', 'obama', 'conservador']",1.4
"['satan', 'repres', 'indulg', 'instead', 'abstin']","['sataná', 'representa', 'indulgencia', 'lugar', 'abstinencia']",1.6
"['long', 'tax', 'sale', 'paid']","['siempr', 'pagu', 'impuesto', 'venta']",3.8
"['fix', 'islam', 'polit']","['arreglar', 'islam', 'mismo', 'político']",1.2
"['march', 'also', 'date', 'upris', 'china']","['marzo', 'fecha', 'levantamiento', 'china']",4.0
"['hope', 'everyth', 'ok']","['espero', 'bien']",5.0
"['understand', 'absurd', 'limit', 'question', 'u', 'resid']","['entiend', 'absurdo', 'limitar', 'pregunta', 'resident', 'eeuu']",3.2
"['seen', 'ufo', 'warsaw', 'past']","['visto', 'ovni', 'varsovia', 'pasado']",4.0
"['depend', 'action', 'further', 'loonytun', 'agenda', 'moment']","['dependiendo', 'acción', 'foment', 'loca', 'agenda', 'momento']",4.6
"['agre', 'made', 'claim']","['acuerdo', 'hecho', 'ninguna', 'reclamación']",3.8
"['zimmerman', 'say', 'sucker', 'punch', 'car']","['zimmerman', 'dice', 'golpeado', 'coch']",2.4
"['war', 'middl', 'east']","['ninguna', 'guerra', 'medio', 'orient']",4.6
"['part', 'prolif', 'opposit', 'legal', 'abort']","['part', 'provida', 'oposición', 'aborto', 'legalizado']",3.8
"['capit', 'gain', 'top', 'rate', 'percent']","['ganancia', 'capit', 'tasa', 'máxima', 'ciento']",2.8
"['time', 'season', 'zombi', 'vessel', 'fill', 'mani', 'wonder']","['tiempo', 'temporada', 'zombi', 'nave', 'llena', 'mucha', 'maravilla']",2.8
"['show', 'will', 'ignor']","['demuestro', 'voluntariament', 'ignorant']",4.0
"['vessel', 'fill', 'mani', 'wonder']","['nave', 'llena', 'mucha', 'maravilla']",3.0
"['problem', 'isnt', 'money']","['problema', 'quién', 'dinero']",2.4666667
"['sadli', 'ford', 'accept', 'taxpay', 'money']","['lamentablement', 'ford', 'aceptó', 'dinero', 'contribuyent']",2.8
"['muslim', 'would', 'say', 'thing', 'quran']","['musulman', 'dirían', 'mismo', 'corán']",1.0
"['confus', 'doesnt', 'make', 'liar']","['confusión', 'conviert', 'mentiroso']",3.8
"['christian', 'extrem', 'simpli', 'religion']","['cristiano', 'extremo', 'simplement', 'religión']",1.6
"['believ', 'right', 'import']","['creen', 'correcto', 'important']",1.2
"['evolut', 'opinion', 'belief']","['evolución', 'opinión', 'creencia']",1.6
"['one', 'claim', 'right', 'decid', 'anoth', 'woman', 'bodi']","['reclama', 'derecho', 'decidir', 'cuerpo', 'mujer']",2.8
"['world', 'ron', 'paul']","['dónde', 'ron', 'paul']",0.8
"['remain', 'missil', 'pentagon']","['resto', 'misil', 'pentágono']",2.4
"['point', 'quot', 'say', 'never', 'said', 'rehabilit', 'could', 'never', 'work']","['punto', 'cita', 'debería', 'decir', 'nunca', 'dije', 'rehabilitación', 'nunca', 'podría', 'funcionar']",3.4
"['billion', 'everyon', 'world', 'mexico', 'current', 'prosper', 'level']","['mil', 'millon', 'mundo', 'actual', 'nivel', 'prosperidad', 'méxico']",1.5333333
"['hair', 'pretti', 'thing', 'tho', 'quot', 'ditto']","['pelo', 'bonito', 'cita', 'mismo', 'digo']",3.8
"['wouldnt', 'stop', 'joke', 'marriag']","['detendría', 'matrimonio', 'broma']",1.2
"['seem', 'think', 'poor', 'peopl', 'respons', 'action']","['parec', 'creer', 'pobr', 'respons', 'acto']",1.6
"['transact', 'take', 'place']","['realizó', 'transacción']",2.4
"['baggag', 'attach']","['trata', 'equipaj', 'adjunto']",0.0
"['vessel', 'fill', 'mani', 'wonder']","['nave', 'llena', 'mucha', 'maravilla']",3.6
"['problem', 'isnt', 'money']","['problema', 'quién', 'dinero']",2.4666667
"['make', 'think', 'owl', 'didnt', 'particip']","['hace', 'pensar', 'búho', 'participó']",1.6
"['lol', 'look', 'forward', 'see', 'builtin']","['deseando', 'ver', 'incorporacion']",1.8
"['origin', 'post', 'jacko']","['originalment', 'publicado', 'jacko']",1.2
"['thank', 'candi', 'start', 'thread']","['gracia', 'candi', 'empezar', 'hilo']",4.8
"['except', 'wasnt']",['excepto'],1.0
"['owe', 'dollar', 'problem']","['si', 'debo', 'dólare', 'problema']",2.2
"['evid', 'provid', 'support', 'posit', 'reject']","['si', 'proporcionan', 'prueba', 'apoyar', 'posición', 'entonc', 'debe', 'ser', 'rechazada']",4.8
"['everyon', 'els', 'current', 'prosper', 'level', 'mexico']","['demá', 'actual', 'nivel', 'prosperidad', 'méxico']",1.4
"['bush', 'get', 'zero', 'credit', 'budget']","['bush', 'recib', 'ningún', 'crédito', 'presupuesto', 'cargo']",1.8
"['lol', 'dont', 'take', 'test', 'drive', 'vehicl', 'u']","['hacer', 'examen', 'conducir', 'vehículo', 'eeuu']",0.8
"['thought', 'movi', 'good', 'didnt', 'find', 'confus', 'way']","['ambo', 'pensamo', 'película', 'buena', 'encontramo', 'confusa', 'ninguna', 'manera']",3.2
"['god', 'exist', 'anyth', 'moral', 'wrong']","['si', 'dio', 'exist', 'pued', 'moralment', 'mal']",5.0
"['law', 'constitut', 'conflict', 'constitut']","['ley', 'constitucion', 'si', 'entra', 'conflicto', 'constitución']",3.6
"['origin', 'post', 'muslim', 'girl', 'ooop', 'sorri']","['originalment', 'publicado', 'chica', 'musulmana', 'ooop', 'siento']",1.2
['countri'],['paí'],1.4
"['origin', 'post', 'zaf', 'suppos', 'water', 'middl', 'make', 'differ']","['originalment', 'publicado', 'zaf', 'supongo', 'agua', 'medio', 'hace', 'diferencia']",1.0
"['cone', 'threw', 'game']","['cone', 'lanzó', 'juego']",4.2
"['edit', 'lashl', 'edit', 'properli', 'mask', 'profan']","['editado', 'lashl', 'editado', 'enmascarar', 'adecuadament', 'blasfemia']",4.8
"['juri', 'told', 'juror', 'nullif']","['jurado', 'informa', 'anulación', 'jurado']",1.6
"['run', 'victim', 'got', 'proof']","['corr', 'victima', 'hacia', 'abajo', 'alguna', 'prueba']",1.0
"['dont', 'use', 'search', 'button', 'much']","['usa', 'botón', 'búsqueda', 'verdad']",4.2
"['dont', 'think', 'paul', 'shot']","['creo', 'paul', 'oportunidad']",3.6
"['time', 'season', 'zombi', 'vessel', 'fill', 'mani', 'wonder']","['tiempo', 'temporada', 'zombi', 'nave', 'llena', 'mucha', 'maravilla']",3.2
"['notic', 'nonsens', 'thing', 'say']","['da', 'cuenta', 'cosa', 'diciendo']",4.571429
"['mess', 'studi']","['si', 'estropean', 'estudio']",1.0
"['specif', 'baptist']","['específicament', 'bautista']",1.2
"['larg', 'part', 'east', 'coast']","['gran', 'part', 'costa']",0.8
"['talk', 'woman', 'within', 'hebrew', 'tribe']","['habla', 'mujer', 'tribu', 'hebrea']",1.4
"['last', 'night', 'japanes', 'forc', 'attack', 'hong', 'kong']","['anoch', 'fuerza', 'japonesa', 'atacaron', 'hong', 'kong']",2.6
"['definit', 'life', 'forc']","['cuál', 'definición', 'fuerza', 'vital']",3.6
"['direct', 'responsibilti', 'constitu']","['responsabilidad', 'directa', 'constituyent']",2.6
"['ideolog', 'built', 'around', 'violent', 'expans', 'ye', 'violent', 'expans']","['ideología', 'construyó', 'torno', 'expansión', 'violenta', 'así', 'expansión', 'violenta']",4.0
"['could', 'enema']","['podría', 'haber', 'sido', 'enema']",4.6
"['final', 'word', 'ignor', 'effect', 'normal']","['última', 'palabra', 'ignorar', 'efecto', 'normalizar']",0.4
"['problem', 'like', 'mean', 'correct', 'chang', 'shuttl', 'fleet', 'start', 'fli']","['problema', 'probablement', 'significará', 'cambio', 'correctivo', 'flota', 'transbordador', 'empiec', 'volar', 'nuevo']",4.4
"['sec', 'chairman', 'william', 'donaldson', 'said', 'build', 'confid', 'cop', 'beat']","['president', 'sec', 'william', 'donaldson', 'dijo', 'construcción', 'confianza', 'ahí', 'policía', 'ronda']",3.4
"['myanmar', 'prodemocraci', 'leader', 'aung', 'san', 'suu', 'kyi', 'return', 'home', 'late', 'friday', 'remain', 'detent', 'recov', 'surgeri', 'yangon', 'hospit', 'person', 'physician', 'said']","['líder', 'prodemocracia', 'myanmar', 'aung', 'san', 'suu', 'kyi', 'regresará', 'casa', 'viern', 'permanecerá', 'detenida', 'despué', 'recuperars', 'cirugía', 'hospit', 'yangon', 'dijo', 'médico', 'person']",4.6
"['darren', 'dopp', 'spitzer', 'spokesman', 'declin', 'comment', 'late', 'thursday']","['darren', 'dopp', 'portavoz', 'spitzer', 'negó', 'hacer', 'comentario', 'final', 'juev']",1.4
"['afternoon', 'trade', 'europ', 'franc', 'cacnum', 'advanc', 'britain', 'ftse', 'num', 'gain', 'num', 'percent', 'germani', 'dax', 'index', 'rose', 'num', 'percent']","['comercio', 'tard', 'europa', 'cacnum', 'francia', 'avanzó', 'ftse', 'num', 'gran', 'bretaña', 'ganó', 'num', 'ciento', 'cada', 'mientra', 'índice', 'dax', 'alemania', 'subió', 'num', 'ciento']",2.0
"['sen', 'john', 'kerri', 'bob', 'graham', 'declin', 'invit', 'speak']","['john', 'kerri', 'bob', 'graham', 'declinaron', 'invitacion', 'hablar']",3.6
"['page', 'said', 'also', 'possibl', 'gene', 'chromosom', 'may', 'influenc', 'genderspecif', 'differ', 'diseas', 'suscept']","['page', 'dijo', 'posibl', 'gene', 'cromosoma', 'puedan', 'influir', 'diferencia', 'género', 'susceptibilidad', 'enfermedad']",4.4
"['one', 'well', 'studi', 'facet', 'tempera', 'peopl', 'respond', 'novelti']","['faceta', 'estudiada', 'temperamento', 'cómo', 'gent', 'respond', 'novedad']",4.8
"['butterfli', 'expos', 'earlier', 'light', 'cycl', 'numam', 'numpm', 'orient', 'toward', 'southeast']","['mariposa', 'expuesta', 'ciclo', 'luz', 'anterior', 'num', 'num', 'pm', 'orientaban', 'hacia', 'sudest']",4.6
"['dunlap', 'swimsuit', 'competit', 'talent', 'portion', 'competit', 'sing', 'could']","['dunlap', 'ganó', 'competencia', 'traje', 'baño', 'part', 'talento', 'competencia', 'cantando', 'if', 'i', 'could']",2.8
"['south', 'asia', 'follow', 'num', 'million', 'youth', 'infect', 'num', 'percent', 'femal']","['sigu', 'asia', 'meridion', 'num', 'millon', 'jóvene', 'infectado', 'cual', 'num', 'mujer']",4.0
"['hour', 'later', 'isra', 'helicopt', 'fire', 'missil', 'car', 'gaza', 'citi', 'kill', 'two', 'hama', 'offici', 'least', 'five', 'peopl']","['hora', 'tard', 'helicóptero', 'israelí', 'disparó', 'misil', 'coch', 'ciudad', 'gaza', 'matando', 'do', 'funcionario', 'hama', 'meno', 'cinco', 'persona']",4.25
"['aaa', 'spokesman', 'jerri', 'chesk', 'said', 'price', 'may', 'affect', 'plan', 'cheap', 'hotel', 'deal', 'mitig', 'effect']","['portavoz', 'aaa', 'jerri', 'chesk', 'dijo', 'precio', 'pueden', 'haber', 'afectado', 'plane', 'acuerdo', 'hotel', 'barato', 'mitigaron', 'efecto']",5.0
"['countersu', 'num', 'million', 'say', 'gruner', 'jahr', 'broke', 'contract', 'cut', 'key', 'editori', 'decis']","['contrademandó', 'num', 'millon', 'dólare', 'diciendo', 'gruner', 'jahr', 'rompió', 'contrato', 'dejarla', 'decision', 'editorial', 'clave']",3.5
"['standard', 'edit', 'num', 'per', 'processor', 'num', 'per', 'name', 'user']","['edición', 'estándar', 'cuesta', 'num', 'dólare', 'procesador', 'num', 'dólare', 'usuario', 'nomin']",2.5
"['microsoft', 'acquir', 'virtual', 'pc', 'bought', 'asset', 'connectix', 'earlier', 'year']","['microsoft', 'adquirió', 'virtual', 'pc', 'compró', 'activo', 'connectix', 'principio', 'año']",4.4
"['leon', 'william', 'bodi', 'found', 'insid', 'thirdfloor', 'apart', 'num', 'bay', 'st', 'tompkinsvil']","['cuerpo', 'leon', 'william', 'encontrado', 'apartamento', 'tercer', 'piso', 'num', 'call', 'bay', 'tompkinsvil']",3.4
"['first', 'drill', 'sinc', 'septemb', 'num', 'terrorist', 'attack', 'new', 'york', 'washington']","['primer', 'simulacro', 'tipo', 'ataqu', 'terrorista', 'num', 'septiembr', 'nueva', 'york', 'washington']",4.0
"['ursel', 'reisen', 'confirm', 'oper', 'coach', 'gave', 'detail', 'say', 'passeng', 'mix', 'age']","['ursel', 'reisen', 'confirmó', 'operaba', 'autocar', 'dio', 'detal', 'decir', 'pasajero', 'edad', 'mixta']",4.8
"['total', 'num', 'case', 'confirm', 'southern', 'citi', 'basra', 'organ', 'said']","['confirmado', 'total', 'num', 'caso', 'ciudad', 'meridion', 'basora', 'según', 'organización']",3.6
"['also', 'expect', 'visit', 'yemen', 'bahrain', 'tour', 'region']","['esperaba', 'visitara', 'yemen', 'bahrein', 'gira', 'región']",3.4
"['gener', 'myer', 'told', 'report', 'first', 'blush', 'doesnt', 'look', 'like', 'rule', 'broken']","['gener', 'myer', 'dijo', 'periodista', 'primera', 'vista', 'parec', 'roto', 'regla']",3.6
"['prove', 'millvil', 'son', 'sacrific', 'would', 'go', 'unsung', 'mayor', 'jame', 'quinn', 'order', 'citi', 'flag', 'flown', 'halfmast', 'next', 'num', 'day']","['demostrando', 'sacrificio', 'hijo', 'millvil', 'quedaría', 'olvidado', 'alcald', 'jame', 'quinn', 'ordenó', 'toda', 'bandera', 'ciudad', 'ondearan', 'medium', 'asta', 'próximo', 'num', 'día']",3.4
"['tom', 'kraynak', 'manag', 'oper', 'resourc', 'canton', 'ohiobas', 'east', 'central', 'area', 'reliabl', 'council', 'said', 'scenario', 'one', 'among', 'mani', 'investig', 'consid']","['tom', 'kraynak', 'gerent', 'operacion', 'recurso', 'consejo', 'confiabilidad', 'área', 'central', 'sede', 'cantón', 'ohio', 'dijo', 'escenario', 'investigador', 'considerando']",4.25
"['found', 'molecul', 'produc', 'ozon', 'break', 'cholesterol']","['encontraron', 'molécula', 'sólo', 'pueden', 'producir', 'ozono', 'descompon', 'colesterol']",4.25
"['store', 'gigabyt', 'inform', 'equival', 'around', 'num', 'hour', 'music', 'one', 'cubic', 'centimetr']","['pued', 'almacenar', 'gigabyt', 'información', 'equivalent', 'una', 'num', 'hora', 'música', 'centímetro', 'cúbico']",3.846
"['earlier', 'month', 'rim', 'said', 'expect', 'report', 'secondquart', 'earn', 'num', 'cent', 'num', 'cent', 'share']","['principio', 'me', 'rim', 'dicho', 'esperaba', 'reportar', 'ganancia', 'segundo', 'trimestr', 'num', 'num', 'centavo', 'dólar', 'acción']",1.2
