sentence1,sentence2,score
"['seagul', 'float', 'water']","['littl', 'bird', 'float', 'water']",3.6
"['black', 'dog', 'stand', 'next', 'materi', 'construct', 'site']","['asian', 'toddler', 'girl', 'sit', 'next', 'pot', 'flower', 'marbl', 'post']",0.0
"['woman', 'pose', 'front', 'apart', 'build', 'snow']","['woman', 'stand', 'front', 'build', 'snow']",4.4
"['five', 'cow', 'graze', 'besid', 'road']","['sever', 'sheep', 'graze', 'field']",1.0
"['two', 'mountain', 'goat', 'graze', 'front', 'alpin', 'lake']","['two', 'anim', 'graze', 'next', 'mountain', 'bodi', 'water']",3.2
"['black', 'white', 'cow', 'behind', 'fenc']","['two', 'black', 'white', 'cow', 'behind', 'metal', 'gate', 'partli', 'cloudi', 'blue', 'sky']",3.2
"['passeng', 'train', 'wait', 'station']","['passeng', 'train', 'wait', 'citi', 'train', 'station']",4.0
"['white', 'anim', 'run', 'snow', 'cover', 'wood']","['white', 'dog', 'run', 'snow', 'cover', 'wood']",3.4
"['man', 'sit', 'grass', 'look', 'toward', 'sky']","['train', 'ride', 'track', 'snow']",0.0
"['black', 'flat', 'screen', 'televis', 'place', 'floor']","['flat', 'screen', 'tv', 'floor']",4.0
"['silver', 'bicycl', 'park', 'live', 'room']","['bicycl', 'dine', 'room']",2.4
"['black', 'train', 'train', 'track']","['train', 'train', 'track']",4.1
"['black', 'train', 'train', 'track']","['train', 'train', 'track']",4.1
"['orang', 'tabbi', 'cat', 'sleep', 'sofa']","['man', 'wear', 'bib', 'sit', 'green', 'couch']",0.0
"['bald', 'eagl', 'perch', 'rope']","['two', 'bald', 'eagl', 'perch', 'branch']",2.6
"['coupl', 'pose', 'pictur', 'couch']","['young', 'coupl', 'sit', 'couch']",4.0
"['men', 'play', 'guitar', 'drink']","['young', 'boy', 'red', 'blue', 'jacket', 'feed', 'sheep']",0.0
"['two', 'cat', 'sit', 'togeth', 'sofa', 'look', 'window']","['two', 'cat', 'look', 'window']",3.8
"['red', 'doubl', 'decker', 'bu']","['red', 'doubl', 'decker', 'bu', 'hood']",3.75
"['closeup', 'anim', 'long', 'face', 'stand', 'grass', 'near', 'tree']","['closeup', 'woman', 'black', 'boot', 'next', 'blue', 'motorcycl']",0.0
"['brown', 'white', 'dog', 'sit', 'floralpattern', 'chair']","['small', 'orang', 'white', 'dog', 'collar', 'bell', 'relax', 'flower', 'print', 'pillow']",1.8
"['group', 'peopl', 'sit', 'restaur', 'tabl']","['group', 'peopl', 'sit', 'around', 'tabl', 'food']",4.2
"['two', 'sheep', 'cliff', 'look', 'camera']","['two', 'sheep', 'stand', 'look', 'camera', 'face', 'opposit', 'direct']",2.0
"['black', 'white', 'photo', 'empti', 'train', 'station']","['black', 'white', 'photo', 'cat', 'lie']",1.6
"['row', 'locomot', 'side', 'field']","['dark', 'brown', 'hors', 'stand', 'field']",1.2
"['white', 'appl', 'comput', 'sit', 'beig', 'carpet', 'bedroom']","['appl', 'comput', 'sit', 'floor']",3.6
"['dog', 'nap', 'small', 'tabl']","['dog', 'sleep', 'tabl']",4.6
"['boat', 'four', 'sail', 'sail', 'water']","['sail', 'boat', 'sail', 'water']",3.6
"['red', 'sport', 'car', 'race', 'track']","['red', 'sport', 'car', 'drive', 'quickli', 'track']",4.6
"['black', 'bird', 'sit', 'concret', 'slab']","['small', 'dog', 'sit', 'next', 'white', 'wall']",0.8
"['victori', 'liner', 'bu', 'white', 'red', 'gold', 'stripe']","['white', 'tour', 'bu', 'red', 'orang', 'yellow', 'stripe']",3.2
"['red', 'doubl', 'decker', 'bu', 'side', 'street']","['red', 'doubl', 'decker', 'bu', 'citi', 'street']",4.4
"['group', 'river', 'barg', 'tree', 'background']","['young', 'girl', 'wear', 'bike', 'helmet', 'bicycl', 'background']",0.4
"['seagul', 'float', 'water']","['larg', 'cruis', 'ship', 'float', 'water']",1.2
"['motorcycl', 'park', 'next', 'car']","['bmw', 'motorcycl', 'park', 'two', 'car']",3.0
"['gray', 'cat', 'look', 'window']","['cat', 'look', 'window']",4.0
"['black', 'white', 'photo', 'cow', 'tree']","['black', 'white', 'photo', 'cow', 'walk', 'tree', 'field']",4.2
"['pot', 'plant', 'sunlight', 'window']","['pot', 'plant', 'sprout']",2.8
"['four', 'peopl', 'row', 'boat', 'near', 'shore']","['four', 'peopl', 'boat', 'green', 'water']",2.8
"['girl', 'red', 'shirt', 'ride', 'brown', 'hors']","['tan', 'white', 'dog', 'lay', 'bed', 'yellow', 'coverlet']",0.0
"['small', 'desk', 'chair', 'front', 'laundri', 'room']","['room', 'tan', 'wall', 'washer', 'dryer']",1.4
"['amtrak', 'passeng', 'train', 'wait', 'station']","['passeng', 'train', 'wait', 'station']",4.0
"['larg', 'jet', 'ground', 'airport']","['passeng', 'jet', 'fli', 'air']",1.8
"['young', 'girl', 'wear', 'helmet', 'ride', 'poni']","['girl', 'wear', 'red', 'blous', 'ride', 'brown', 'hors']",2.0
"['peopl', 'sit', 'porch']","['peopl', 'sit', 'acouch']",1.4
"['two', 'hors', 'stand', 'pen']","['group', 'hors', 'graze', 'field']",1.6
"['red', 'train', 'yellow', 'train', 'track']","['two', 'train', 'travel', 'track']",3.4
"['two', 'peopl', 'sit', 'tabl', 'restaur']","['group', 'peopl', 'sit', 'around', 'tabl', 'porch']",1.0
"['lamb', 'stand', 'near', 'two', 'tini', 'anim']","['sheep', 'stand', 'near', 'child']",1.4
"['person', 'ride', 'dirt', 'bike', 'outdoor']","['person', 'jump', 'motorbik', 'air']",2.2
"['tan', 'cow', 'ear', 'tag', 'grassi', 'field']","['mani', 'sheep', 'stand', 'green', 'hill']",0.2
"['sail', 'boat', 'sail', 'water']","['sail', 'boat', 'float', 'blue', 'water']",4.2
"['woman', 'vike', 'hat']","['smile', 'woman', 'sit', 'wear', 'vike', 'hat']",4.2
"['park', 'white', 'doubl', 'decker', 'bu']","['red', 'white', 'doubl', 'decker', 'bu', 'park']",4.2
"['field', 'black', 'face', 'sheep']","['black', 'face', 'sheep']",2.8
"['two', 'bird', 'perch', 'metal', 'band']","['two', 'small', 'bird', 'perch', 'metal', 'bar']",4.0
"['tabl', 'blue', 'tabl', 'cloth', 'kitchen']","['wooden', 'cabinet', 'kitchen']",1.6
"['young', 'woman', 'bracelet', 'wear', 'bikini', 'top', 'jean']","['woman', 'wear', 'bikini', 'top', 'jean']",4.0
"['brown', 'hors', 'graze', 'field', 'green', 'grass']","['brown', 'hors', 'stand', 'middl', 'grassi', 'field']",4.0
"['pot', 'liquid', 'center', 'tinfoil', 'cover', 'plate']","['pot', 'food', 'place', 'center', 'red', 'tablecloth']",1.4
"['black', 'white', 'cow', 'stand', 'grassi', 'field']","['blue', 'jay', 'stand', 'grassi', 'field']",0.6000000000000001
"['yellow', 'blue', 'airplan', 'fli', 'sky']","['white', 'airplan', 'fli', 'blue', 'sky']",3.2
"['woman', 'sit', 'chair', 'christma', 'hold', 'make']","['train', 'sit', 'track', 'train', 'yard']",0.0
"['four', 'asian', 'young', 'peopl', 'sit', 'den', 'live', 'room']","['girl', 'sit', 'live', 'chair']",0.8
"['train', 'go', 'track']","['train', 'glide', 'track']",4.6
"['young', 'woman', 'dress', 'black']","['two', 'young', 'kid', 'dress', 'sit', 'chair']",0.2
"['group', 'peopl', 'sit', 'tabl', 'drink']","['four', 'peopl', 'sit', 'tabl']",3.0
"['plane', 'fli', 'distanc']","['woman', 'white', 'hors']",0.0
"['group', 'river', 'barg', 'tree', 'background']","['group', 'cow', 'field', 'yellow', 'tag', 'ear']",0.2
"['live', 'room', 'dine', 'tabl', 'background']","['live', 'room', 'larg', 'sofa', 'dine', 'tabl', 'background']",3.6
"['yellow', 'stripe', 'cat', 'rest', 'blue', 'sofa']","['orang', 'tabbi', 'cat', 'sleep', 'sofa']",4.0
"['passeng', 'train', 'come', 'station']","['larg', 'bird', 'fli', 'air']",0.0
"['two', 'peopl', 'paddl', 'red', 'cano', 'tree', 'background']","['two', 'peopl', 'pad', 'yellow', 'cano', 'river', 'tree', 'background']",3.4
"['black', 'train', 'move', 'track']","['black', 'train', 'idl', 'track']",2.2
"['white', 'jeep', 'park', 'front', 'store']","['white', 'jeep', 'park', 'street']",3.5
"['two', 'woman', 'stand', 'front', 'tour', 'bu']","['two', 'men', 'talk', 'front', 'plane']",0.4
"['man', 'ride', 'larg', 'black', 'motorbik']","['child', 'sit', 'larg', 'black', 'leather', 'chair']",0.0
"['bicycl', 'park', 'outsid', 'bookstor']","['peopl', 'stand', 'outsid', 'bookstor']",0.8
"['plane', 'midflight', 'sunset']","['plane', 'fli', 'near', 'sunset']",3.8
"['two', 'red', 'bu', 'park', 'garden', 'front']","['red', 'bu', 'park', 'larg', 'white', 'build', 'besid', 'formal', 'garden']",3.4
"['yellow', 'parrot', 'cling', 'side', 'cage']","['yellow', 'orang', 'bird', 'hold', 'side', 'cage']",3.4
"['coupl', 'sail', 'small', 'sailboat']","['two', 'men', 'sail', 'small', 'sailboat']",3.0
"['silver', 'blue', 'motorcycl', 'sit', 'next', 'car']","['motorcycl', 'park', 'next', 'car']",3.6
"['red', 'doubl', 'decker', 'bu']","['red', 'doubledeck', 'bu']",5.0
"['foot', 'stand', 'pretti', 'day', 'larg', 'build', 'background']","['two', 'polic', 'offic', 'stand', 'behind', 'van', 'bu', 'background']",0.4
"['small', 'white', 'dog', 'chew', 'twig', 'lie', 'wooden', 'deck']","['white', 'dog', 'lay', 'wooden', 'floor', 'underneath', 'tabl']",1.6
"['man', 'stand', 'front', 'silver', 'train']","['man', 'stand', 'front', 'silver', 'rail', 'car']",4.4
"['closeup', 'sheep', 'tongu', 'hang']","['close', 'imag', 'sheep', 'tongu', 'hang']",5.0
"['black', 'white', 'horn', 'cow', 'stand', 'field']","['black', 'white', 'cow', 'stand', 'field']",4.2
"['man', 'ride', 'white', 'hors', 'arena']","['man', 'ride', 'white', 'hors']",4.0
"['train', 'sit', 'track', 'near', 'field']","['train', 'travel', 'track']",2.2
"['woman', 'small', 'child', 'sit', 'dinner', 'tabl', 'smile', 'camera']","['small', 'cat', 'lay', 'wooden', 'beam', 'look', 'camera']",0.4
"['buddha', 'statu', 'sit', 'tabl', 'wooden', 'tabl', 'runner']","['bird', 'stand', 'top', 'wooden', 'fencepost']",0.4
"['two', 'red', 'bu', 'drive', 'front', 'garden']","['train', 'pull', 'station']",0.0
"['cow', 'graze', 'snow', 'cover', 'field']","['five', 'cow', 'graze', 'snow', 'cover', 'field']",3.8
"['man', 'ride', 'white', 'hors']","['woman', 'ride', 'brown', 'hors']",1.8
"['man', 'blue', 'shirt', 'stand', 'front', 'fountain']","['man', 'blue', 'shirt', 'tan', 'pant', 'stand', 'front', 'statu', 'man', 'cobbl', 'stone', 'pave', 'plaza']",3.2
"['girl', 'ride', 'gear', 'sit', 'atop', 'brown', 'hors']","['girl', 'red', 'shirt', 'ride', 'brown', 'hors']",4.0
"['clear', 'plastic', 'chair', 'front', 'bookcas']","['clear', 'plastic', 'chair', 'front', 'book', 'shelf']",4.2
"['dog', 'wear', 'gray', 'jacket']","['dog', 'lay', 'pet', 'jacket']",3.0
"['sheep', 'stand', 'hillsid']","['larg', 'sheep', 'stand', 'hill']",4.0
"['black', 'white', 'cow', 'stand', 'grassi', 'field']","['black', 'white', 'cow', 'stand', 'field']",3.8
"['woman', 'black', 'bikini', 'top', 'jean']","['woman', 'black', 'hat', 'stand', 'subway']",1.0
"['girl', 'ride', 'brown', 'hors']","['jockey', 'wear', 'purpl', 'ride', 'brown', 'hors']",2.2
"['man', 'stand', 'front', 'yellow', 'corvett']","['man', 'stand', 'next', 'yellow', 'sport', 'car']",3.2
"['man', 'sit', 'grass', 'look', 'toward', 'sky']","['man', 'stand', 'sidewalk', 'front', 'hors']",0.0
"['man', 'pose', 'front', 'larg', 'fountain', 'statu', 'top']","['man', 'blue', 'shirt', 'stand', 'front', 'fountain']",2.8
"['white', 'cat', 'stand', 'carpet']","['sheep', 'stand', 'forest']",0.4
"['flat', 'screen', 'tv', 'floor']","['flatscreen', 'tv', 'sit', 'floor']",5.0
"['two', 'brown', 'hors', 'stand', 'grassi', 'field']","['two', 'men', 'sail', 'small', 'sailboat']",0.0
"['two', 'sheep', 'stand', 'doorway']","['two', 'ram', 'stand', 'snowi', 'ground']",1.4
"['room', 'sever', 'comput', 'monitor']","['room', 'four', 'comput', 'monitor', 'row']",4.0
"['line', 'outsid', 'bookstor', 'street']","['yellow', 'motorcycl', 'park', 'street']",0.4
"['passeng', 'jet', 'sit', 'runway']","['larg', 'passeng', 'jet', 'fli', 'close', 'ground']",1.8
"['old', 'green', 'bottl', 'sit', 'tabl']","['three', 'men', 'suit', 'sit', 'tabl']",0.4
"['two', 'white', 'hors', 'stare', 'fenc']","['two', 'hors', 'stand', 'pen']",3.0
"['black', 'white', 'cow', 'paus', 'front', 'gate']","['white', 'airplan', 'fli', 'sky']",0.0
"['black', 'white', 'cow', 'stand', 'grassi', 'field']","['black', 'white', 'horn', 'cow', 'stand', 'field']",4.0
"['black', 'white', 'photo', 'cat', 'lie']","['black', 'white', 'imag', 'cat', 'lay', 'rug']",4.2
"['man', 'woman', 'stand', 'smile', 'camera']","['man', 'woman', 'pose', 'camera']",4.2
"['orang', 'white', 'cat', 'asleep', 'leather', 'chair']","['ginger', 'cat', 'sit', 'offic', 'chair']",3.0
"['white', 'cat', 'stand', 'carpet']","['pretti', 'white', 'stripe', 'cat', 'head', 'hang', 'tabl']",1.6
"['grey', 'white', 'domest', 'kitten', 'lie', 'desk']","['man', 'bicycl', 'lay', 'green', 'grass']",0.2
"['woman', 'pose', 'front', 'apart', 'build', 'snow']","['white', 'bu', 'park', 'grass', 'front', 'build']",0.0
"['young', 'woman', 'bracelet', 'wear', 'bikini', 'top', 'jean']","['woman', 'wear', 'jean', 'dark', 'bikini', 'top', 'bracelet']",4.6
"['tabl', 'chair', 'room', 'pictur', 'wall', 'ceil', 'fan']","['school', 'bu', 'drive', 'road', 'green', 'tree', 'grass', 'background']",0.0
"['man', 'sit', 'cross', 'leg', 'bed', 'watch', 'small', 'tv']","['man', 'sit', 'bed', 'close', 'small', 'televis']",3.4
"['headlight', 'blue', 'car']","['close', 'headlight', 'blue', 'car']",4.2
"['passeng', 'train', 'come', 'station']","['passeng', 'train', 'sit', 'station']",2.4
"['airplan', 'face', 'camera']","['lone', 'cow', 'sit', 'cold', 'yard']",0.0
"['woman', 'ride', 'brown', 'hors']","['person', 'dress', 'white', 'brown', 'hors']",3.2
"['jockey', 'ride', 'hors']","['jockey', 'ride', 'hors', 'pen']",3.8
"['two', 'dog', 'blend', 'stuff', 'anim']","['two', 'dog', 'sit', 'couch', 'mani', 'stuf', 'anim']",3.4
"['train', 'run', 'track']","['train', 'run', 'track', 'rural', 'area']",4.0
"['someon', 'stand', 'snowi', 'mountain', 'watch', 'plane']","['man', 'stand', 'mountain', 'watch', 'plane']",4.4
"['bird', 'flap', 'wing', 'water']","['larg', 'black', 'bird', 'sit', 'water']",3.2
"['cruis', 'liner', 'dock', 'port']","['cruis', 'ship', 'dock', 'coast']",3.2
"['red', 'doubl', 'decker', 'bu', 'crowd', 'street']","['white', 'bu', 'partial', 'snow', 'public', 'street']",2.0
"['woman', 'pet', 'dog', 'fenc', 'area']","['woman', 'pet', 'dog', 'gate', 'yard']",4.8
"['black', 'white', 'cat', 'play', 'blanket']","['black', 'white', 'cat', 'get', 'basket', 'yarn']",2.2
"['man', 'mountain', 'bike', 'go', 'inclin']","['man', 'ride', 'mountain', 'bike', 'rock', 'clear', 'day']",3.2
"['cat', 'reclin', 'offic', 'chair']","['ginger', 'cat', 'sit', 'offic', 'chair']",3.8
"['group', 'hors', 'graze', 'field']","['brown', 'hors', 'graze', 'field', 'green', 'grass']",2.6
"['group', 'peopl', 'drink']","['row', 'locomot', 'side', 'field']",0.0
"['two', 'dog', 'fenc', 'kennel', 'look', 'ahead']","['two', 'woman', 'pose', 'dine', 'room', 'babi']",0.0
"['three', 'sheep', 'dirt', 'road', 'view', 'passeng', 'vehicl']","['three', 'sheep', 'middl', 'gravel', 'road']",3.4
"['yellow', 'blue', 'airplan', 'fli', 'sky']","['nine', 'red', 'white', 'aircraft', 'fli', 'format', 'trail', 'smoke']",1.0
"['train', 'sit', 'train', 'station']","['blue', 'train', 'station']",4.0
"['train', 'sit', 'track', 'near', 'field']","['babi', 'sit', 'grass']",0.0
"['red', 'doubl', 'decker', 'bu', 'take', 'passeng']","['red', 'doubl', 'decker', 'bu', 'pick', 'passeng', 'citi']",4.4
"['two', 'guy', 'sit', 'couch', 'hold', 'beer', 'girl', 'lie', 'lap']","['two', 'woman', 'watch', 'street', 'bike', 'see', 'may', 'cross']",0.0
"['two', 'woman', 'kitchen', 'look', 'object']","['two', 'woman', 'kitchen', 'one', 'take', 'pictur']",2.8
"['race', 'hors', 'gallop', 'without', 'rider']","['hors', 'gallop', 'wear', 'number', 'num']",2.8
"['steam', 'engin', 'train', 'move', 'toward', 'camera']","['larg', 'bird', 'prey', 'fli', 'toward', 'camera']",0.8
"['black', 'white', 'photo', 'glass', 'bottl', 'coca', 'cola']","['black', 'white', 'pictur', 'short', 'squat', 'cocacola', 'bottl']",4.2
"['small', 'bird', 'perch', 'ici', 'branch']","['yellow', 'bird', 'perch', 'branch']",3.2
"['boy', 'glass', 'type', 'comput']","['boy', 'look', 'comput', 'screen']",3.2
"['red', 'truck', 'spin', 'tire', 'black', 'one', 'leaf', 'frame']","['red', 'truck', 'spin', 'tire', 'emit', 'smoke', 'behind']",3.2
"['live', 'room', 'tabl', 'chair', 'sofa', 'alongsid', 'larg', 'palm']","['live', 'room', 'blue', 'sofa', 'camp', 'bed', 'wooden', 'bench', 'dresser']",2.4
"['smile', 'woman', 'hold', 'small', 'babi']","['woman', 'sit', 'sofa', 'hold', 'babi']",3.4
"['esso', 'ga', 'station', 'tree', 'background']","['two', 'polic', 'offic', 'stand', 'behind', 'van', 'bu', 'background']",0.0
"['four', 'blue', 'yellow', 'plane', 'fli', 'four', 'boat']","['four', 'blue', 'yellow', 'plane', 'flight']",4.2
"['hors', 'stand', 'near', 'gate', 'anoth', 'hors', 'background']","['group', 'river', 'barg', 'tree', 'background']",0.0
"['three', 'bottl', 'tabl']","['old', 'green', 'bottl', 'sit', 'tabl']",2.4
"['steam', 'engin', 'come', 'train', 'track', 'near', 'tree']","['train', 'train', 'station']",1.4
"['train', 'train', 'station']","['train', 'park', 'train', 'station']",4.2
"['woman', 'sit', 'sofa', 'hold', 'babi']","['bird', 'sit', 'log', 'lake']",0.4
"['two', 'bird', 'fli', 'toward', 'water', 'feeder']","['two', 'bird', 'fli', 'near', 'bird', 'feeder']",3.6
"['two', 'cow', 'stand', 'larg', 'field']","['hors', 'stand', 'field']",1.6
"['group', 'sheep', 'graze', 'hill']","['group', 'sheep', 'hill']",4.0
"['man', 'stand', 'front', 'train']","['man', 'stand', 'front', 'rais', 'statu']",2.0
"['two', 'woman', 'pose', 'camera', 'give', 'thumb', 'sign']","['two', 'smile', 'young', 'woman', 'give', 'thumb', 'sign']",4.4
"['woman', 'hold', 'small', 'babi', 'sit', 'sofa']","['woman', 'sit', 'sofa', 'hold', 'babi']",4.8
"['doubl', 'decker', 'red', 'unit', 'bu', 'citi', 'street']","['doubli', 'decker', 'red', 'bu', 'drive', 'road']",4.0
"['two', 'woman', 'sit', 'brown', 'couch']","['two', 'woman', 'stand', 'outsid', 'bu']",1.0
"['grey', 'cat', 'green', 'eye', 'look', 'camera']","['grey', 'black', 'white', 'cat', 'look', 'camera']",3.2
"['bird', 'sit', 'branch']","['sheep', 'stand', 'tree']",0.0
"['group', 'peopl', 'sit', 'tabl', 'restaur']","['two', 'peopl', 'sit', 'tabl', 'restaur']",3.8
"['black', 'white', 'cow', 'stand', 'grass', 'partli', 'cloudi', 'blue', 'sky']","['two', 'black', 'white', 'cow', 'behind', 'metal', 'gate', 'partli', 'cloudi', 'blue', 'sky']",2.4
"['guy', 'white', 'hors']","['man', 'ride', 'white', 'hors', 'arena']",3.2
"['two', 'dairi', 'cow', 'drink', 'pond']","['two', 'cow', 'drink', 'pond']",4.6
"['sever', 'shear', 'sheep', 'pen']","['three', 'white', 'sheep', 'enclosur']",2.4
"['black', 'dog', 'lie', 'grass']","['black', 'dog', 'lie', 'grass']",5.0
"['two', 'young', 'peopl', 'sit', 'tabl', 'next', 'slide', 'glass', 'door', 'one', 'person', 'point']","['two', 'peopl', 'sit', 'face', 'tabl', 'one', 'point']",4.2
"['man', 'woman', 'hold', 'hand', 'walk', 'along', 'beach']","['man', 'beard', 'skullcap', 'boy', 'walk', 'along', 'ocean', 'shore']",2.2
"['ten', 'sheep', 'look', 'camera']","['cat', 'back', 'look', 'camera']",1.2
"['black', 'white', 'dog', 'look', 'camera']","['small', 'black', 'white', 'goat', 'pen', 'look', 'camera']",1.4
"['black', 'tabl', 'white', 'fuzzi', 'chair']","['woman', 'child']",0.0
"['red', 'doubl', 'decker', 'bu', 'take', 'passeng']","['red', 'doubl', 'decker', 'bu', 'drive', 'street']",2.2
"['sail', 'boat', 'sail', 'water']","['sailboat', 'sail', 'cloudi', 'day']",3.4
"['blue', 'bird', 'perch', 'glove', 'hand', 'person']","['bird', 'perch', 'person', 'glove', 'hand']",4.2
"['girl', 'ride', 'brown', 'white', 'hors']","['girl', 'ride', 'brown', 'hors']",3.6
"['mostli', 'black', 'train', 'track']","['car', 'park', 'front', 'train', 'track']",1.0
"['young', 'boy', 'color', 'red', 'blue', 'crayon']","['young', 'blond', 'girl', 'ride', 'gear', 'sit', 'top', 'gray', 'white', 'hors']",0.0
"['group', 'peopl', 'live', 'room']","['group', 'four', 'peopl', 'walk', 'past', 'giant', 'mushroom']",0.8
"['mallard', 'tame', 'white', 'duck', 'grass', 'near', 'water']","['small', 'child', 'pink', 'dress', 'sit', 'tabl']",0.0
"['cat', 'sit', 'two', 'bicycl', 'front', 'door']","['hors', 'stand', 'field', 'front', 'fenc']",0.0
"['girl', 'red', 'bag', 'stand', 'street']","['black', 'dog', 'stare', 'sheep']",0.0
"['hors', 'rider', 'ride', 'white', 'hors']","['woman', 'lead', 'white', 'hors']",3.4
"['long', 'train', 'train', 'track']","['train', 'train', 'track']",4.2
"['black', 'tan', 'dog', 'look', 'black', 'sheep']","['black', 'dog', 'look', 'brown', 'sheep', 'pen']",3.0
"['room', 'sever', 'comput', 'pictur', 'wall']","['home', 'offic', 'three', 'comput', 'monitor', 'equip', 'desk']",2.8
"['black', 'white', 'photo', 'cow', 'walk', 'tree', 'field']","['black', 'white', 'dog', 'look', 'camera']",1.0
"['silver', 'areomexico', 'jet', 'liner', 'sit', 'tarmac']","['aeromexico', 'silver', 'plane', 'runway']",4.2
"['man', 'dirt', 'bike', 'jump', 'high']","['man', 'motorbik', 'jump', 'sky', 'behind']",3.4
"['two', 'peopl', 'sail', 'small', 'white', 'sail', 'boat']","['coupl', 'sail', 'small', 'sailboat']",4.2
"['white', 'airplan', 'park', 'cement']","['blue', 'motorcycl', 'park', 'sidewalk']",0.8
"['three', 'cow', 'graze', 'field']","['sever', 'sheep', 'graze', 'field']",0.8
"['man', 'sit', 'messi', 'tabl', 'use', 'laptop']","['man', 'sit', 'look', 'laptop', 'comput', 'messi', 'tabl']",4.8
"['dine', 'tabl', 'candl', 'wine', 'teapot']","['wooden', 'tabl', 'set', 'candl', 'wine', 'purpl', 'plastic', 'bowl']",3.0
"['two', 'peopl', 'paddl', 'red', 'cano', 'reflect', 'still', 'water']","['two', 'peopl', 'red', 'cano', 'clear', 'lake']",3.2
"['scantili', 'clad', 'woman', 'stand', 'next', 'car']","['scantili', 'clad', 'woman', 'stand', 'next', 'small', 'red', 'vehicl']",3.8
"['red', 'doubl', 'decker', 'bu', 'take', 'passeng']","['red', 'doubl', 'decker', 'bu', 'hood']",2.2
"['buddha', 'statu', 'hold', 'candl', 'sit', 'tabl']","['man', 'fish', 'small', 'boat', 'lake']",0.0
"['three', 'peopl', 'sit', 'dinner', 'tabl', 'smile', 'camera']","['two', 'elderli', 'woman', 'sit', 'dinner', 'tabl', 'man']",2.0
"['multicolor', 'train', 'track']","['mostli', 'black', 'train', 'track']",2.8
"['white', 'red', 'bu', 'travel', 'street']","['red', 'bu', 'street']",2.2
"['red', 'blue', 'plane', 'fli', 'land', 'gear']","['wwii', 'fighter', 'plane', 'land', 'gear']",3.2
"['small', 'boat', 'go', 'creek']","['boat', 'move', 'river']",3.0
"['four', 'woman', 'two', 'men', 'sit', 'long', 'tabl', 'restaur']","['group', 'peopl', 'sit', 'tabl', 'italian', 'restaur']",3.0
"['two', 'goat', 'stand', 'field', 'tree']","['larg', 'boat', 'pull', 'small', 'white', 'boat']",0.0
"['black', 'white', 'photo', 'live', 'room', 'larg', 'window', 'sofa', 'chair']","['black', 'white', 'scene', 'well', 'furnish', 'room', 'view', 'outlook', 'forest']",3.0
"['close', 'brown', 'hors', 'blue', 'halter']","['close', 'hors', 'wear', 'blue', 'halter']",3.6
"['larg', 'black', 'bird', 'sit', 'water']","['bird', 'swim', 'water']",2.6
"['closeup', 'cat', 'cream', 'sofa']","['siames', 'cat', 'rest', 'white', 'sofa']",3.4
"['person', 'jump', 'bicycl', 'perform', 'trick']","['person', 'ride', 'dirt', 'bike', 'outdoor']",2.25
"['yellow', 'school', 'bu', 'park', 'rural', 'area']","['yellow', 'school', 'bu', 'park', 'field']",4.0
"['pug', 'dog', 'wit', 'yellow', 'chair', 'next', 'green', 'dumpster']","['bulldog', 'sit', 'yellow', 'chair', 'besid', 'larg', 'wast', 'receptacl']",3.2
"['woman', 'sit', 'red', 'motorcycl']","['white', 'sheep', 'stand', 'green', 'hill']",0.0
"['sheep', 'stand', 'tabl', 'auction']","['woolli', 'sheep', 'auction', 'hous']",4.2
"['closeup', 'black', 'train', 'engin']","['close', 'white', 'sheep', 'black', 'head']",0.0
"['orang', 'white', 'cat', 'asleep', 'leather', 'chair']","['orang', 'white', 'cat', 'lay', 'blanket', 'black', 'leather', 'chair']",4.0
"['train', 'ride', 'track']","['train', 'come', 'track', 'two', 'row', 'tree']",3.0
"['black', 'white', 'cow', 'stand', 'grassi', 'field']","['black', 'white', 'horn', 'cow', 'stand', 'field']",3.8
"['doubl', 'decker', 'red', 'unit', 'bu', 'citi', 'street']","['doubl', 'decker', 'bu', 'drive', 'citi', 'street']",4.0
"['televis', 'desk', 'hotel', 'room', 'lamp', 'light']","['televis', 'laptop', 'comput', 'hotel', 'room']",2.6
"['man', 'ride', 'small', 'bicycl']","['man', 'wheeli', 'bike']",2.8
"['woman', 'wear', 'navi', 'dress', 'cut', 'cake', 'white', 'tabl']","['person', 'wear', 'helmet', 'sit', 'bicycl', 'sunni', 'day']",0.4
"['black', 'train', 'move', 'track']","['train', 'travel', 'track']",4.0
"['closeup', 'pictur', 'white', 'purpl', 'motorcycl']","['closeup', 'pictur', 'desk', 'comput', 'paper']",1.0
"['young', 'girl', 'ride', 'brown', 'hors']","['woman', 'ride', 'brown', 'hors']",3.8
"['two', 'woman', 'kitchen', 'look', 'object']","['three', 'men', 'suit', 'sit', 'tabl']",0.0
"['two', 'woman', 'pose', 'babi']","['woman', 'pose', 'babi']",2.2
"['group', 'peopl', 'sit', 'around', 'tabl', 'contain', 'food']","['four', 'peopl', 'sit', 'around', 'live', 'room', 'withsnack']",2.8
"['blue', 'motorcycl', 'park', 'sidewalk']","['blue', 'mope', 'park', 'sidewalk']",4.0
"['red', 'doubl', 'decker', 'bu', 'citi', 'street']","['red', 'doubl', 'decker', 'bu', 'drive', 'street']",4.8
"['two', 'train', 'insid', 'train', 'station']","['train', 'sit', 'train', 'station']",2.4
"['man', 'ride', 'white', 'hors']","['woman', 'white', 'hors']",2.2
